"I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"Vegetables","Jams and Jellies","Paper Products","Frozen Desserts","Canned Soup","Beer and Wine","Snack Foods","","","","","","","","","","",""
"Meat","Snack Foods","","","","","","","","","","","","","","","",""
"Dairy","Vegetables","Beer and Wine","Frozen Desserts","Electrical","","","","","","","","","","","","",""
"Vegetables","","","","","","","","","","","","","","","","",""
"Specialty","Meat","Vegetables","Electrical","Bread","Hardware","","","","","","","","","","","",""
"Breakfast Foods","Jams and Jellies","Starchy Foods","Specialty","Snack Foods","Hardware","","","","","","","","","","","",""
"Snack Foods","Plastic Products","Hardware","","","","","","","","","","","","","","",""
"Jams and Jellies","Dairy","Bread","Frozen Desserts","Vegetables","Specialty","Baking Goods","","","","","","","","","","",""
"Jams and Jellies","Carbonated Beverages","Frozen Desserts","","","","","","","","","","","","","","",""
"Cold Remedies","","","","","","","","","","","","","","","","",""
"Pizza","Electrical","Vegetables","Bread","","","","","","","","","","","","","",""
"Pizza","Paper Products","Bread","Eggs","Candy","","","","","","","","","","","","",""
"Pain Relievers","Canned Tuna","Drinks","Eggs","","","","","","","","","","","","","",""
"Meat","Baking Goods","Hardware","Fruit","Vegetables","Eggs","","","","","","","","","","","",""
"Hardware","Breakfast Foods","Dairy","Fruit","Drinks","","","","","","","","","","","","",""
"Snack Foods","","","","","","","","","","","","","","","","",""
"Vegetables","Hygiene","Canned Soup","","","","","","","","","","","","","","",""
"Dairy","Meat","Paper Products","Vegetables","Hot Beverages","Snack Foods","","","","","","","","","","","",""
"Frozen Desserts","Hardware","Vegetables","Beer and Wine","Snack Foods","Canned Soup","","","","","","","","","","","",""
"Dairy","Snack Foods","Vegetables","Bread","Eggs","Meat","Decongestants","Jams and Jellies","","","","","","","","","",""
"Fruit","Drinks","Vegetables","Dairy","","","","","","","","","","","","","",""
"Electrical","Fruit","Carbonated Beverages","Paper Products","","","","","","","","","","","","","",""
"Meat","Beer and Wine","","","","","","","","","","","","","","","",""
"Dairy","Snack Foods","Bread","Magazines","Baking Goods","Carbonated Beverages","Candy","Vegetables","Canned Soup","Packaged Vegetables","Beer and Wine","Frozen Desserts","Electrical","","","","",""
"Cleaning Supplies","Canned Sardines","Cold Remedies","Beer and Wine","Bread","Paper Products","Frozen Entrees","Meat","","","","","","","","","",""
"Meat","Snack Foods","Vegetables","Hot Beverages","Specialty","Side Dishes","","","","","","","","","","","",""
"Kitchen Products","Hot Beverages","Seafood","Pain Relievers","Vegetables","Pure Juice Beverages","Canned Soup","Fruit","","","","","","","","","",""
"Snack Foods","Hygiene","Breakfast Foods","","","","","","","","","","","","","","",""
"Snack Foods","Electrical","Candy","Vegetables","","","","","","","","","","","","","",""
"Vegetables","Frozen Entrees","Hygiene","Meat","Breakfast Foods","Specialty","","","","","","","","","","","",""
"Hot Beverages","","","","","","","","","","","","","","","","",""
"Kitchen Products","Vegetables","Eggs","Breakfast Foods","Dairy","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","","","","","","","","","","","","","","","",""
"Breakfast Foods","Vegetables","Fruit","Electrical","Hot Beverages","Candles","Candy","","","","","","","","","","",""
"Fruit","","","","","","","","","","","","","","","","",""
"Snack Foods","Hot Beverages","Meat","Candy","Cleaning Supplies","","","","","","","","","","","","",""
"Electrical","Vegetables","","","","","","","","","","","","","","","",""
"Paper Products","Candy","Starchy Foods","Fruit","Baking Goods","","","","","","","","","","","","",""
"Vegetables","Specialty","Plastic Products","","","","","","","","","","","","","","",""
"Hardware","Paper Products","Jams and Jellies","","","","","","","","","","","","","","",""
"Snack Foods","Pure Juice Beverages","","","","","","","","","","","","","","","",""
"Eggs","Snack Foods","Beer and Wine","Breakfast Foods","Bathroom Products","","","","","","","","","","","","",""
