@relation R_data_frame

@attribute 'Baking Goods' {FALSE,TRUE}
@attribute 'Bathroom Products' {FALSE,TRUE}
@attribute 'Beer and Wine' {FALSE,TRUE}
@attribute Bread {FALSE,TRUE}
@attribute 'Breakfast Foods' {FALSE,TRUE}
@attribute Candles {FALSE,TRUE}
@attribute Candy {FALSE,TRUE}
@attribute 'Canned Anchovies' {FALSE,TRUE}
@attribute 'Canned Clams' {FALSE,TRUE}
@attribute 'Canned Oysters' {FALSE,TRUE}
@attribute 'Canned Sardines' {FALSE,TRUE}
@attribute 'Canned Shrimp' {FALSE,TRUE}
@attribute 'Canned Soup' {FALSE,TRUE}
@attribute 'Canned Tuna' {FALSE,TRUE}
@attribute 'Carbonated Beverages' {FALSE,TRUE}
@attribute 'Cleaning Supplies' {FALSE,TRUE}
@attribute 'Cold Remedies' {FALSE,TRUE}
@attribute Dairy {FALSE,TRUE}
@attribute Decongestants {FALSE,TRUE}
@attribute Drinks {FALSE,TRUE}
@attribute 'Dry Goods' {FALSE,TRUE}
@attribute Eggs {FALSE,TRUE}
@attribute Electrical {FALSE,TRUE}
@attribute 'Frozen Desserts' {FALSE,TRUE}
@attribute 'Frozen Entrees' {FALSE,TRUE}
@attribute Fruit {FALSE,TRUE}
@attribute Hardware {FALSE,TRUE}
@attribute 'Hot Beverages' {FALSE,TRUE}
@attribute Hygiene {FALSE,TRUE}
@attribute 'Jams and Jellies' {FALSE,TRUE}
@attribute 'Kitchen Products' {FALSE,TRUE}
@attribute Magazines {FALSE,TRUE}
@attribute Meat {FALSE,TRUE}
@attribute Miscellaneous {FALSE,TRUE}
@attribute 'Packaged Soup' {FALSE,TRUE}
@attribute 'Packaged Vegetables' {FALSE,TRUE}
@attribute 'Pain Relievers' {FALSE,TRUE}
@attribute 'Paper Products' {FALSE,TRUE}
@attribute Pizza {FALSE,TRUE}
@attribute 'Plastic Products' {FALSE,TRUE}
@attribute 'Pure Juice Beverages' {FALSE,TRUE}
@attribute Seafood {FALSE,TRUE}
@attribute 'Side Dishes' {FALSE,TRUE}
@attribute 'Snack Foods' {FALSE,TRUE}
@attribute Specialty {FALSE,TRUE}
@attribute 'Starchy Foods' {FALSE,TRUE}
@attribute Vegetables {FALSE,TRUE}

@data
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
