key,item
 826- 1081- 1,214
 826- 1081- 1,763
 826- 1081- 1,260
 8397- 1081- 1,778
 8397- 1081- 1,195
 8397- 1081- 1,385
 8397- 1081- 1,961
 9887- 1081- 1,12
 9887- 1081- 1,934
 9887- 1081- 1,871
 9887- 1081- 1,328
 8021- 1081- 1,715
 8021- 1081- 1,359
 8021- 1081- 1,282
 4350- 1081- 1,586
 4350- 1081- 1,16
 4350- 1081- 1,898
 4350- 1081- 1,1368
 4350- 1081- 1,785
 4350- 1081- 1,975
 4350- 1081- 1,1551
 5933- 1081- 1,151
 5933- 1081- 1,1299
 5933- 1081- 1,557
 8176- 1081- 1,540
 8176- 1081- 1,1276
 8176- 1081- 1,1453
 8176- 1081- 1,1336
 8176- 1081- 1,128
 8176- 1081- 1,224
 8176- 1081- 1,667
 5578- 1081- 1,1346
 5578- 1081- 1,803
 8039- 1081- 1,1147
 8039- 1081- 1,258
 3138- 1081- 1,1440
 3138- 1081- 1,1350
 3138- 1081- 1,475
 3138- 1081- 1,1130
 3138- 1081- 1,308
 5406- 1081- 1,497
 5406- 1081- 1,701
 1260- 1081- 1,1222
 1260- 1081- 1,354
 1260- 1081- 1,1502
 1260- 1081- 1,760
 1260- 1081- 1,1430
 1260- 1081- 1,248
 1260- 1081- 1,774
 6358- 1081- 1,1234
 6358- 1081- 1,1505
 1287- 1081- 1,27
 1287- 1081- 1,110
 1287- 1081- 1,1419
 1287- 1081- 1,610
 1287- 1081- 1,1065
 1287- 1081- 1,843
 1287- 1081- 1,366
 1287- 1081- 1,1381
 7976- 1081- 1,638
 7976- 1081- 1,1347
 7976- 1081- 1,1191
 4429- 1081- 1,16
 4429- 1081- 1,925
 4429- 1081- 1,1314
 4429- 1081- 1,1291
 4429- 1081- 1,216
 4429- 1081- 1,326
 4429- 1081- 1,409
 5090- 1081- 1,646
 5090- 1081- 1,157
 5090- 1081- 1,480
 5090- 1081- 1,657
 5090- 1081- 1,540
 5090- 1081- 1,890
 5090- 1081- 1,1399
 5090- 1081- 1,284
 872- 1081- 1,404
 872- 1081- 1,128
 872- 1081- 1,544
 872- 1081- 1,854
 7021- 1081- 1,1236
 7021- 1081- 1,747
 7021- 1081- 1,1070
 5578- 1081- 1,1255
 5578- 1081- 1,1498
 5578- 1081- 1,1182
 5578- 1081- 1,573
 5606- 1081- 1,623
 5606- 1081- 1,279
 5606- 1081- 1,895
 5606- 1081- 1,606
 7091- 1081- 1,393
 7091- 1081- 1,942
 7091- 1081- 1,853
 7091- 1081- 1,1535
 2634- 1081- 1,1358
 2634- 1081- 1,749
 4698- 1081- 1,892
 4698- 1081- 1,1003
 4698- 1081- 1,1086
 4531- 1081- 1,445
 4531- 1081- 1,35
 4531- 1081- 1,851
 4531- 1081- 1,1520
 4531- 1081- 1,1483
 5624- 1081- 1,668
 5624- 1081- 1,512
 5624- 1081- 1,1394
 5624- 1081- 1,1450
 5624- 1081- 1,867
 5624- 1081- 1,1471
 5624- 1081- 1,75
 5624- 1081- 1,318
 1553- 1081- 1,1358
 1553- 1081- 1,388
 1553- 1081- 1,1324
 2434- 1081- 1,1108
 2434- 1081- 1,1551
 2434- 1081- 1,222
 2434- 1081- 1,266
 1032- 1081- 1,130
 1032- 1081- 1,933
 1032- 1081- 1,910
 1032- 1081- 1,1393
 1032- 1081- 1,1089
 1032- 1081- 1,1172
 491- 1081- 1,1156
 491- 1081- 1,973
 491- 1081- 1,1522
 491- 1081- 1,1432
 491- 1081- 1,557
 491- 1081- 1,68
 491- 1081- 1,390
 340- 1081- 1,204
 340- 1081- 1,1513
 6944- 1081- 1,473
 6944- 1081- 1,1515
 8491- 1081- 1,1111
 8491- 1081- 1,329
 8491- 1081- 1,1531
 8491- 1081- 1,1455
 8491- 1081- 1,1272
 1287- 1081- 1,69
 1287- 1081- 1,340
 1287- 1081- 1,356
 1287- 1081- 1,306
 2634- 1081- 1,200
 2634- 1081- 1,337
 2634- 1081- 1,753
 2634- 1081- 1,1063
 2634- 1081- 1,133
 2082- 1081- 1,1275
 2082- 1081- 1,227
 2082- 1081- 1,670
 2082- 1081- 1,1312
 2082- 1081- 1,942
 491- 1081- 1,622
 491- 1081- 1,705
 491- 1081- 1,455
 8039- 1081- 1,1504
 8039- 1081- 1,761
 8039- 1081- 1,1017
 8039- 1081- 1,1394
 8039- 1081- 1,678
 8039- 1081- 1,1267
 8039- 1081- 1,645
 8039- 1081- 1,1367
 5430- 1081- 1,902
 5430- 1081- 1,1397
 5430- 1081- 1,642
 5430- 1081- 1,619
 462- 1081- 1,536
 462- 1081- 1,1351
 462- 1081- 1,49
 10113- 1081- 1,1366
 10113- 1081- 1,1543
 10113- 1081- 1,1426
 10113- 1081- 1,217
 10113- 1081- 1,727
 10113- 1081- 1,756
 1396- 1081- 1,833
 1396- 1081- 1,24
 1396- 1081- 1,893
 1396- 1081- 1,257
 1396- 1081- 1,1339
 1396- 1081- 1,1210
 6076- 1081- 1,398
 6076- 1081- 1,575
 6076- 1081- 1,458
 6076- 1081- 1,808
 6076- 1081- 1,903
 6076- 1081- 1,1346
 6944- 1081- 1,1132
 6944- 1081- 1,323
 6944- 1081- 1,778
 6944- 1081- 1,556
 6944- 1081- 1,80
 6944- 1081- 1,1095
 6944- 1081- 1,1165
 6212- 1081- 1,1548
 6212- 1081- 1,633
 6212- 1081- 1,263
 6212- 1081- 1,546
 6212- 1081- 1,1255
 6212- 1081- 1,1099
 4350- 1081- 1,127
 4350- 1081- 1,197
 4350- 1081- 1,813
 4350- 1081- 1,110
 5406- 1081- 1,917
 5406- 1081- 1,268
 5406- 1081- 1,657
 5406- 1081- 1,634
 5406- 1081- 1,1117
 8391- 1081- 1,199
 8391- 1081- 1,1254
 8391- 1081- 1,378
 8391- 1081- 1,1447
 8391- 1081- 1,211
 8391- 1081- 1,388
 4907- 1081- 1,1224
 4907- 1081- 1,149
 4907- 1081- 1,1403
 4907- 1081- 1,1487
 4907- 1081- 1,1237
 4907- 1081- 1,428
 4907- 1081- 1,1297
 10160- 1073- 1,493
 10160- 1073- 1,376
 8474- 1073- 1,1294
 8474- 1073- 1,1483
 71- 1073- 1,907
 71- 1073- 1,258
 71- 1073- 1,1061
 71- 1073- 1,624
 7563- 1073- 1,541
 7563- 1073- 1,1356
 7563- 1073- 1,468
 7563- 1073- 1,844
 7563- 1073- 1,1273
 7270- 1073- 1,823
 7270- 1073- 1,147
 7270- 1073- 1,617
 7270- 1073- 1,1179
 7270- 1073- 1,224
 8231- 1073- 1,1312
 8231- 1073- 1,1382
 9585- 1073- 1,767
 5418- 1073- 1,554
 5418- 1073- 1,1342
 5418- 1073- 1,121
 5418- 1073- 1,1496
 5418- 1073- 1,487
 5418- 1073- 1,398
 5418- 1073- 1,1080
 10113- 1073- 1,437
 10113- 1073- 1,547
 10113- 1073- 1,631
 10113- 1073- 1,381
 10113- 1073- 1,1130
 10113- 1073- 1,28
 10113- 1073- 1,1363
 10113- 1073- 1,887
 5618- 1073- 1,778
 5618- 1073- 1,1061
 5618- 1073- 1,213
 5618- 1073- 1,56
 2622- 1073- 1,736
 2622- 1073- 1,432
 462- 1073- 1,349
 462- 1073- 1,765
 462- 1073- 1,1075
 462- 1073- 1,559
 8231- 1073- 1,969
 8231- 1073- 1,1291
 8231- 1073- 1,1468
 8231- 1073- 1,1352
 8231- 1073- 1,143
 8231- 1073- 1,653
 8231- 1073- 1,682
 8231- 1073- 1,1325
 3958- 1073- 1,551
 3958- 1073- 1,967
 3958- 1073- 1,1277
 3958- 1073- 1,761
 3958- 1073- 1,751
 10160- 1073- 1,441
 10160- 1073- 1,884
 10160- 1073- 1,1526
 6263- 1073- 1,1208
 6263- 1073- 1,1357
